"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 23 18:21:17 UTC 2026","Tue Jun 23 18:21:18 UTC 2026","617","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/500 returns 500",""
"passed","Tue Jun 23 18:21:17 UTC 2026","Tue Jun 23 18:21:17 UTC 2026","238","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials redirect to /login",""
"passed","Tue Jun 23 18:21:17 UTC 2026","Tue Jun 23 18:21:18 UTC 2026","676","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/301 returns 301",""
"passed","Tue Jun 23 18:21:17 UTC 2026","Tue Jun 23 18:21:17 UTC 2026","250","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials redirect to /secure",""
"passed","Tue Jun 23 18:21:17 UTC 2026","Tue Jun 23 18:21:17 UTC 2026","410","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials land on /login with error flash message",""
"passed","Tue Jun 23 18:21:18 UTC 2026","Tue Jun 23 18:21:19 UTC 2026","642","chromium","login.spec.ts","","","","logs in successfully with valid credentials",""
"passed","Tue Jun 23 18:21:17 UTC 2026","Tue Jun 23 18:21:18 UTC 2026","641","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/404 returns 404",""
"passed","Tue Jun 23 18:21:17 UTC 2026","Tue Jun 23 18:21:17 UTC 2026","373","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials land on /secure with success flash message",""
"passed","Tue Jun 23 18:21:17 UTC 2026","Tue Jun 23 18:21:18 UTC 2026","717","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/200 returns 200",""
