"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 06 11:08:13 UTC 2026","Sun Sep 06 11:08:13 UTC 2026","225","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials redirect to /login",""
"passed","Sun Sep 06 11:08:13 UTC 2026","Sun Sep 06 11:08:14 UTC 2026","685","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/404 returns 404",""
"passed","Sun Sep 06 11:08:13 UTC 2026","Sun Sep 06 11:08:13 UTC 2026","274","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials redirect to /secure",""
"passed","Sun Sep 06 11:08:13 UTC 2026","Sun Sep 06 11:08:14 UTC 2026","737","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/301 returns 301",""
"passed","Sun Sep 06 11:08:14 UTC 2026","Sun Sep 06 11:08:14 UTC 2026","452","chromium","login.spec.ts","","","","logs in successfully with valid credentials",""
"passed","Sun Sep 06 11:08:13 UTC 2026","Sun Sep 06 11:08:14 UTC 2026","796","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/200 returns 200",""
"passed","Sun Sep 06 11:08:13 UTC 2026","Sun Sep 06 11:08:13 UTC 2026","373","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials land on /login with error flash message",""
"passed","Sun Sep 06 11:08:13 UTC 2026","Sun Sep 06 11:08:14 UTC 2026","706","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/500 returns 500",""
"passed","Sun Sep 06 11:08:13 UTC 2026","Sun Sep 06 11:08:13 UTC 2026","245","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials land on /secure with success flash message",""
