"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 21 13:03:15 UTC 2026","Mon Sep 21 13:03:15 UTC 2026","454","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials land on /login with error flash message",""
"passed","Mon Sep 21 13:03:15 UTC 2026","Mon Sep 21 13:03:17 UTC 2026","2049","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/200 returns 200",""
"passed","Mon Sep 21 13:03:15 UTC 2026","Mon Sep 21 13:03:17 UTC 2026","1881","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/500 returns 500",""
"passed","Mon Sep 21 13:03:15 UTC 2026","Mon Sep 21 13:03:17 UTC 2026","1955","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/301 returns 301",""
"passed","Mon Sep 21 13:03:15 UTC 2026","Mon Sep 21 13:03:15 UTC 2026","244","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials redirect to /login",""
"passed","Mon Sep 21 13:03:15 UTC 2026","Mon Sep 21 13:03:15 UTC 2026","454","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials land on /secure with success flash message",""
"passed","Mon Sep 21 13:03:15 UTC 2026","Mon Sep 21 13:03:15 UTC 2026","306","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials redirect to /secure",""
"passed","Mon Sep 21 13:03:15 UTC 2026","Mon Sep 21 13:03:17 UTC 2026","1850","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/404 returns 404",""
"passed","Mon Sep 21 13:03:17 UTC 2026","Mon Sep 21 13:03:18 UTC 2026","803","chromium","login.spec.ts","","","","logs in successfully with valid credentials",""
