"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 30 12:02:54 UTC 2026","Sun Aug 30 12:02:55 UTC 2026","547","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials land on /login with error flash message",""
"passed","Sun Aug 30 12:02:55 UTC 2026","Sun Aug 30 12:02:56 UTC 2026","1211","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/404 returns 404",""
"passed","Sun Aug 30 12:02:54 UTC 2026","Sun Aug 30 12:02:55 UTC 2026","587","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials land on /secure with success flash message",""
"passed","Sun Aug 30 12:02:55 UTC 2026","Sun Aug 30 12:02:56 UTC 2026","1443","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/200 returns 200",""
"passed","Sun Aug 30 12:02:54 UTC 2026","Sun Aug 30 12:02:55 UTC 2026","340","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials redirect to /login",""
"passed","Sun Aug 30 12:02:55 UTC 2026","Sun Aug 30 12:02:56 UTC 2026","1420","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/301 returns 301",""
"passed","Sun Aug 30 12:02:56 UTC 2026","Sun Aug 30 12:02:57 UTC 2026","790","chromium","login.spec.ts","","","","logs in successfully with valid credentials",""
"passed","Sun Aug 30 12:02:54 UTC 2026","Sun Aug 30 12:02:55 UTC 2026","377","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials redirect to /secure",""
"passed","Sun Aug 30 12:02:55 UTC 2026","Sun Aug 30 12:02:56 UTC 2026","1128","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/500 returns 500",""
