"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 18 08:14:35 UTC 2026","Sat Jul 18 08:14:37 UTC 2026","1707","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/301 returns 301",""
"passed","Sat Jul 18 08:14:36 UTC 2026","Sat Jul 18 08:14:37 UTC 2026","1452","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/404 returns 404",""
"passed","Sat Jul 18 08:14:35 UTC 2026","Sat Jul 18 08:14:36 UTC 2026","704","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials land on /login with error flash message",""
"passed","Sat Jul 18 08:14:37 UTC 2026","Sat Jul 18 08:14:38 UTC 2026","1458","chromium","login.spec.ts","","","","logs in successfully with valid credentials",""
"passed","Sat Jul 18 08:14:35 UTC 2026","Sat Jul 18 08:14:35 UTC 2026","481","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials redirect to /login",""
"passed","Sat Jul 18 08:14:35 UTC 2026","Sat Jul 18 08:14:35 UTC 2026","497","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials redirect to /secure",""
"passed","Sat Jul 18 08:14:36 UTC 2026","Sat Jul 18 08:14:37 UTC 2026","1281","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/500 returns 500",""
"passed","Sat Jul 18 08:14:35 UTC 2026","Sat Jul 18 08:14:37 UTC 2026","1706","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/200 returns 200",""
"passed","Sat Jul 18 08:14:35 UTC 2026","Sat Jul 18 08:14:36 UTC 2026","843","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials land on /secure with success flash message",""
