"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 23 11:52:42 UTC 2026","Wed Sep 23 11:52:44 UTC 2026","1520","chromium","login.spec.ts","","","","logs in successfully with valid credentials",""
"passed","Wed Sep 23 11:52:39 UTC 2026","Wed Sep 23 11:52:40 UTC 2026","766","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials land on /login with error flash message",""
"passed","Wed Sep 23 11:52:40 UTC 2026","Wed Sep 23 11:52:42 UTC 2026","2301","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/404 returns 404",""
"passed","Wed Sep 23 11:52:39 UTC 2026","Wed Sep 23 11:52:40 UTC 2026","737","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials land on /secure with success flash message",""
"passed","Wed Sep 23 11:52:40 UTC 2026","Wed Sep 23 11:52:42 UTC 2026","2653","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/301 returns 301",""
"passed","Wed Sep 23 11:52:40 UTC 2026","Wed Sep 23 11:52:42 UTC 2026","2232","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/500 returns 500",""
"passed","Wed Sep 23 11:52:39 UTC 2026","Wed Sep 23 11:52:40 UTC 2026","478","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials redirect to /secure",""
"passed","Wed Sep 23 11:52:40 UTC 2026","Wed Sep 23 11:52:42 UTC 2026","2743","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/200 returns 200",""
"passed","Wed Sep 23 11:52:39 UTC 2026","Wed Sep 23 11:52:40 UTC 2026","420","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials redirect to /login",""
