"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 03 09:39:39 UTC 2026","Fri Jul 03 09:39:40 UTC 2026","783","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials land on /login with error flash message",""
"passed","Fri Jul 03 09:39:40 UTC 2026","Fri Jul 03 09:39:41 UTC 2026","1179","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/500 returns 500",""
"passed","Fri Jul 03 09:39:39 UTC 2026","Fri Jul 03 09:39:40 UTC 2026","480","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials redirect to /login",""
"passed","Fri Jul 03 09:39:40 UTC 2026","Fri Jul 03 09:39:41 UTC 2026","1233","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/404 returns 404",""
"passed","Fri Jul 03 09:39:39 UTC 2026","Fri Jul 03 09:39:40 UTC 2026","471","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials redirect to /secure",""
"passed","Fri Jul 03 09:39:40 UTC 2026","Fri Jul 03 09:39:41 UTC 2026","1393","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/301 returns 301",""
"passed","Fri Jul 03 09:39:39 UTC 2026","Fri Jul 03 09:39:40 UTC 2026","837","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials land on /secure with success flash message",""
"passed","Fri Jul 03 09:39:41 UTC 2026","Fri Jul 03 09:39:42 UTC 2026","1422","chromium","login.spec.ts","","","","logs in successfully with valid credentials",""
"passed","Fri Jul 03 09:39:40 UTC 2026","Fri Jul 03 09:39:41 UTC 2026","1455","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/200 returns 200",""
