"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 12 07:57:29 UTC 2026","Wed Aug 12 07:57:31 UTC 2026","2308","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/404 returns 404",""
"passed","Wed Aug 12 07:57:28 UTC 2026","Wed Aug 12 07:57:29 UTC 2026","310","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials land on /secure with success flash message",""
"passed","Wed Aug 12 07:57:29 UTC 2026","Wed Aug 12 07:57:31 UTC 2026","2142","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/500 returns 500",""
"passed","Wed Aug 12 07:57:29 UTC 2026","Wed Aug 12 07:57:31 UTC 2026","2424","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/301 returns 301",""
"passed","Wed Aug 12 07:57:28 UTC 2026","Wed Aug 12 07:57:31 UTC 2026","2511","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/200 returns 200",""
"passed","Wed Aug 12 07:57:28 UTC 2026","Wed Aug 12 07:57:29 UTC 2026","257","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials redirect to /login",""
"passed","Wed Aug 12 07:57:28 UTC 2026","Wed Aug 12 07:57:28 UTC 2026","246","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials redirect to /secure",""
"passed","Wed Aug 12 07:57:31 UTC 2026","Wed Aug 12 07:57:31 UTC 2026","455","chromium","login.spec.ts","","","","logs in successfully with valid credentials",""
"passed","Wed Aug 12 07:57:28 UTC 2026","Wed Aug 12 07:57:29 UTC 2026","306","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials land on /login with error flash message",""
