"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 16 08:37:52 UTC 2026","Thu Jul 16 08:37:52 UTC 2026","271","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials redirect to /secure",""
"passed","Thu Jul 16 08:37:52 UTC 2026","Thu Jul 16 08:37:53 UTC 2026","365","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials land on /login with error flash message",""
"passed","Thu Jul 16 08:37:52 UTC 2026","Thu Jul 16 08:37:53 UTC 2026","895","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/200 returns 200",""
"passed","Thu Jul 16 08:37:52 UTC 2026","Thu Jul 16 08:37:52 UTC 2026","242","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials redirect to /login",""
"passed","Thu Jul 16 08:37:52 UTC 2026","Thu Jul 16 08:37:52 UTC 2026","235","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials land on /secure with success flash message",""
"passed","Thu Jul 16 08:37:53 UTC 2026","Thu Jul 16 08:37:53 UTC 2026","742","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/500 returns 500",""
"passed","Thu Jul 16 08:37:53 UTC 2026","Thu Jul 16 08:37:54 UTC 2026","450","chromium","login.spec.ts","","","","logs in successfully with valid credentials",""
"passed","Thu Jul 16 08:37:52 UTC 2026","Thu Jul 16 08:37:53 UTC 2026","787","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/404 returns 404",""
"passed","Thu Jul 16 08:37:52 UTC 2026","Thu Jul 16 08:37:53 UTC 2026","831","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/301 returns 301",""
