"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 23 15:17:14 UTC 2026","Tue Jun 23 15:17:17 UTC 2026","2469","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/500 returns 500",""
"passed","Tue Jun 23 15:17:17 UTC 2026","Tue Jun 23 15:17:18 UTC 2026","1392","chromium","login.spec.ts","","","","logs in successfully with valid credentials",""
"passed","Tue Jun 23 15:17:13 UTC 2026","Tue Jun 23 15:17:14 UTC 2026","687","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials land on /login with error flash message",""
"passed","Tue Jun 23 15:17:14 UTC 2026","Tue Jun 23 15:17:17 UTC 2026","2876","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/200 returns 200",""
"passed","Tue Jun 23 15:17:13 UTC 2026","Tue Jun 23 15:17:14 UTC 2026","712","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials land on /secure with success flash message",""
"passed","Tue Jun 23 15:17:13 UTC 2026","Tue Jun 23 15:17:14 UTC 2026","418","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials redirect to /login",""
"passed","Tue Jun 23 15:17:14 UTC 2026","Tue Jun 23 15:17:17 UTC 2026","2481","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/404 returns 404",""
"passed","Tue Jun 23 15:17:13 UTC 2026","Tue Jun 23 15:17:14 UTC 2026","388","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials redirect to /secure",""
"passed","Tue Jun 23 15:17:14 UTC 2026","Tue Jun 23 15:17:17 UTC 2026","2839","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/301 returns 301",""
