"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 23 19:02:35 UTC 2026","Tue Jun 23 19:02:36 UTC 2026","674","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/500 returns 500",""
"passed","Tue Jun 23 19:02:35 UTC 2026","Tue Jun 23 19:02:35 UTC 2026","242","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials land on /login with error flash message",""
"passed","Tue Jun 23 19:02:36 UTC 2026","Tue Jun 23 19:02:36 UTC 2026","424","chromium","login.spec.ts","","","","logs in successfully with valid credentials",""
"passed","Tue Jun 23 19:02:35 UTC 2026","Tue Jun 23 19:02:35 UTC 2026","193","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials redirect to /secure",""
"passed","Tue Jun 23 19:02:35 UTC 2026","Tue Jun 23 19:02:36 UTC 2026","767","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/301 returns 301",""
"passed","Tue Jun 23 19:02:35 UTC 2026","Tue Jun 23 19:02:36 UTC 2026","701","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/404 returns 404",""
"passed","Tue Jun 23 19:02:35 UTC 2026","Tue Jun 23 19:02:35 UTC 2026","167","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials redirect to /login",""
"passed","Tue Jun 23 19:02:35 UTC 2026","Tue Jun 23 19:02:35 UTC 2026","255","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials land on /secure with success flash message",""
"passed","Tue Jun 23 19:02:35 UTC 2026","Tue Jun 23 19:02:36 UTC 2026","781","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/200 returns 200",""
