"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 24 09:01:41 UTC 2026","Fri Jul 24 09:01:41 UTC 2026","504","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials redirect to /login",""
"passed","Fri Jul 24 09:01:41 UTC 2026","Fri Jul 24 09:01:41 UTC 2026","435","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials redirect to /secure",""
"passed","Fri Jul 24 09:01:41 UTC 2026","Fri Jul 24 09:01:42 UTC 2026","753","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials land on /login with error flash message",""
"passed","Fri Jul 24 09:01:41 UTC 2026","Fri Jul 24 09:01:44 UTC 2026","3000","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/200 returns 200",""
"passed","Fri Jul 24 09:01:42 UTC 2026","Fri Jul 24 09:01:44 UTC 2026","2671","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/500 returns 500",""
"passed","Fri Jul 24 09:01:42 UTC 2026","Fri Jul 24 09:01:44 UTC 2026","2688","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/404 returns 404",""
"passed","Fri Jul 24 09:01:44 UTC 2026","Fri Jul 24 09:01:46 UTC 2026","1460","chromium","login.spec.ts","","","","logs in successfully with valid credentials",""
"passed","Fri Jul 24 09:01:41 UTC 2026","Fri Jul 24 09:01:42 UTC 2026","780","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials land on /secure with success flash message",""
"passed","Fri Jul 24 09:01:41 UTC 2026","Fri Jul 24 09:01:44 UTC 2026","3071","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/301 returns 301",""
