"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 17 08:32:09 UTC 2026","Fri Jul 17 08:32:11 UTC 2026","2354","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/500 returns 500",""
"passed","Fri Jul 17 08:32:08 UTC 2026","Fri Jul 17 08:32:11 UTC 2026","2650","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/301 returns 301",""
"passed","Fri Jul 17 08:32:09 UTC 2026","Fri Jul 17 08:32:11 UTC 2026","2278","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/404 returns 404",""
"passed","Fri Jul 17 08:32:08 UTC 2026","Fri Jul 17 08:32:11 UTC 2026","2883","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/200 returns 200",""
"passed","Fri Jul 17 08:32:08 UTC 2026","Fri Jul 17 08:32:08 UTC 2026","458","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials redirect to /login",""
"passed","Fri Jul 17 08:32:08 UTC 2026","Fri Jul 17 08:32:09 UTC 2026","761","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials land on /login with error flash message",""
"passed","Fri Jul 17 08:32:08 UTC 2026","Fri Jul 17 08:32:09 UTC 2026","768","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials land on /secure with success flash message",""
"passed","Fri Jul 17 08:32:11 UTC 2026","Fri Jul 17 08:32:12 UTC 2026","1470","chromium","login.spec.ts","","","","logs in successfully with valid credentials",""
"passed","Fri Jul 17 08:32:08 UTC 2026","Fri Jul 17 08:32:08 UTC 2026","467","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials redirect to /secure",""
