"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 09 11:35:56 UTC 2026","Wed Sep 09 11:35:57 UTC 2026","882","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/301 returns 301",""
"passed","Wed Sep 09 11:35:57 UTC 2026","Wed Sep 09 11:35:57 UTC 2026","811","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/500 returns 500",""
"passed","Wed Sep 09 11:35:56 UTC 2026","Wed Sep 09 11:35:57 UTC 2026","516","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials land on /login with error flash message",""
"passed","Wed Sep 09 11:35:57 UTC 2026","Wed Sep 09 11:35:58 UTC 2026","622","chromium","login.spec.ts","","","","logs in successfully with valid credentials",""
"passed","Wed Sep 09 11:35:56 UTC 2026","Wed Sep 09 11:35:56 UTC 2026","253","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials redirect to /login",""
"passed","Wed Sep 09 11:35:56 UTC 2026","Wed Sep 09 11:35:57 UTC 2026","427","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials land on /secure with success flash message",""
"passed","Wed Sep 09 11:35:56 UTC 2026","Wed Sep 09 11:35:56 UTC 2026","247","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials redirect to /secure",""
"passed","Wed Sep 09 11:35:56 UTC 2026","Wed Sep 09 11:35:57 UTC 2026","930","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/200 returns 200",""
"passed","Wed Sep 09 11:35:57 UTC 2026","Wed Sep 09 11:35:57 UTC 2026","803","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/404 returns 404",""
