"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 29 11:29:02 UTC 2026","Mon Jun 29 11:29:02 UTC 2026","231","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials redirect to /login",""
"passed","Mon Jun 29 11:29:02 UTC 2026","Mon Jun 29 11:29:02 UTC 2026","657","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/301 returns 301",""
"passed","Mon Jun 29 11:29:02 UTC 2026","Mon Jun 29 11:29:02 UTC 2026","572","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/500 returns 500",""
"passed","Mon Jun 29 11:29:02 UTC 2026","Mon Jun 29 11:29:02 UTC 2026","569","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/404 returns 404",""
"passed","Mon Jun 29 11:29:02 UTC 2026","Mon Jun 29 11:29:02 UTC 2026","279","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials land on /secure with success flash message",""
"passed","Mon Jun 29 11:29:02 UTC 2026","Mon Jun 29 11:29:02 UTC 2026","216","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials redirect to /secure",""
"passed","Mon Jun 29 11:29:02 UTC 2026","Mon Jun 29 11:29:03 UTC 2026","751","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/200 returns 200",""
"passed","Mon Jun 29 11:29:02 UTC 2026","Mon Jun 29 11:29:02 UTC 2026","329","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials land on /login with error flash message",""
"passed","Mon Jun 29 11:29:02 UTC 2026","Mon Jun 29 11:29:03 UTC 2026","392","chromium","login.spec.ts","","","","logs in successfully with valid credentials",""
