"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 13 09:51:49 UTC 2026","Mon Jul 13 09:51:49 UTC 2026","289","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials land on /login with error flash message",""
"passed","Mon Jul 13 09:51:49 UTC 2026","Mon Jul 13 09:51:49 UTC 2026","261","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials land on /secure with success flash message",""
"passed","Mon Jul 13 09:51:49 UTC 2026","Mon Jul 13 09:51:52 UTC 2026","3002","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/500 returns 500",""
"passed","Mon Jul 13 09:51:49 UTC 2026","Mon Jul 13 09:51:49 UTC 2026","259","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials redirect to /login",""
"passed","Mon Jul 13 09:51:49 UTC 2026","Mon Jul 13 09:51:52 UTC 2026","3051","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/404 returns 404",""
"passed","Mon Jul 13 09:51:52 UTC 2026","Mon Jul 13 09:51:53 UTC 2026","431","chromium","login.spec.ts","","","","logs in successfully with valid credentials",""
"passed","Mon Jul 13 09:51:49 UTC 2026","Mon Jul 13 09:51:49 UTC 2026","231","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials redirect to /secure",""
"passed","Mon Jul 13 09:51:49 UTC 2026","Mon Jul 13 09:51:52 UTC 2026","3007","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/301 returns 301",""
"passed","Mon Jul 13 09:51:49 UTC 2026","Mon Jul 13 09:51:52 UTC 2026","3163","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/200 returns 200",""
