"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 20 11:38:07 UTC 2026","Sun Sep 20 11:38:08 UTC 2026","393","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials land on /login with error flash message",""
"passed","Sun Sep 20 11:38:08 UTC 2026","Sun Sep 20 11:38:09 UTC 2026","791","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/500 returns 500",""
"passed","Sun Sep 20 11:38:08 UTC 2026","Sun Sep 20 11:38:08 UTC 2026","862","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/301 returns 301",""
"passed","Sun Sep 20 11:38:07 UTC 2026","Sun Sep 20 11:38:08 UTC 2026","401","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials land on /secure with success flash message",""
"passed","Sun Sep 20 11:38:08 UTC 2026","Sun Sep 20 11:38:09 UTC 2026","776","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/404 returns 404",""
"passed","Sun Sep 20 11:38:07 UTC 2026","Sun Sep 20 11:38:08 UTC 2026","319","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials redirect to /login",""
"passed","Sun Sep 20 11:38:08 UTC 2026","Sun Sep 20 11:38:08 UTC 2026","910","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/200 returns 200",""
"passed","Sun Sep 20 11:38:08 UTC 2026","Sun Sep 20 11:38:09 UTC 2026","641","chromium","login.spec.ts","","","","logs in successfully with valid credentials",""
"passed","Sun Sep 20 11:38:07 UTC 2026","Sun Sep 20 11:38:08 UTC 2026","294","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials redirect to /secure",""
