"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 30 09:08:36 UTC 2026","Thu Jul 30 09:08:37 UTC 2026","310","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials land on /login with error flash message",""
"passed","Thu Jul 30 09:08:36 UTC 2026","Thu Jul 30 09:08:39 UTC 2026","2253","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/404 returns 404",""
"passed","Thu Jul 30 09:08:36 UTC 2026","Thu Jul 30 09:08:36 UTC 2026","207","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials redirect to /login",""
"passed","Thu Jul 30 09:08:36 UTC 2026","Thu Jul 30 09:08:39 UTC 2026","2340","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/200 returns 200",""
"passed","Thu Jul 30 09:08:36 UTC 2026","Thu Jul 30 09:08:36 UTC 2026","290","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials land on /secure with success flash message",""
"passed","Thu Jul 30 09:08:36 UTC 2026","Thu Jul 30 09:08:36 UTC 2026","222","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials redirect to /secure",""
"passed","Thu Jul 30 09:08:37 UTC 2026","Thu Jul 30 09:08:39 UTC 2026","2208","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/500 returns 500",""
"passed","Thu Jul 30 09:08:36 UTC 2026","Thu Jul 30 09:08:39 UTC 2026","2242","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/301 returns 301",""
"passed","Thu Jul 30 09:08:39 UTC 2026","Thu Jul 30 09:08:39 UTC 2026","496","chromium","login.spec.ts","","","","logs in successfully with valid credentials",""
