"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 23 18:26:34 UTC 2026","Tue Jun 23 18:26:35 UTC 2026","1443","chromium","login.spec.ts","","","","logs in successfully with valid credentials",""
"passed","Tue Jun 23 18:26:33 UTC 2026","Tue Jun 23 18:26:34 UTC 2026","1283","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/404 returns 404",""
"passed","Tue Jun 23 18:26:32 UTC 2026","Tue Jun 23 18:26:34 UTC 2026","1379","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/301 returns 301",""
"passed","Tue Jun 23 18:26:32 UTC 2026","Tue Jun 23 18:26:32 UTC 2026","434","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials redirect to /secure",""
"passed","Tue Jun 23 18:26:32 UTC 2026","Tue Jun 23 18:26:33 UTC 2026","791","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials land on /login with error flash message",""
"passed","Tue Jun 23 18:26:32 UTC 2026","Tue Jun 23 18:26:32 UTC 2026","462","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials redirect to /login",""
"passed","Tue Jun 23 18:26:33 UTC 2026","Tue Jun 23 18:26:34 UTC 2026","1247","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/500 returns 500",""
"passed","Tue Jun 23 18:26:32 UTC 2026","Tue Jun 23 18:26:34 UTC 2026","1524","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/200 returns 200",""
"passed","Tue Jun 23 18:26:32 UTC 2026","Tue Jun 23 18:26:33 UTC 2026","819","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials land on /secure with success flash message",""
